Ref;Description;Text;type;comment;Pleiades;Lat;Lng
VII.1.3;Coldui;τῶν Κολδούων;tribe;according to Strabo, these are part of the Suevi and they 'dwell'(oikounta) in the forests -> have villages/settlements in wooded areas?;128501;48.5;16.5
VII.1.5;Vindelici;Οὐινδολικοὶ;tribe;;119033;48.5;10.5
IV.3.5;Lucotocia;πόλιν Λουκοτοκίαν;city;Lutecia;109126;48.8544055;2.346168
IV.3.5;Parisii;οἱ Παρίσιοι;tribe;;109242;48.8544055;2.346168
IV.3.5;Meldi;Μέλδοι;tribe;;109155;48.95769833;2.880364667
VII.1.5;Gabreta;...καὶ ἄλλη ὕλη μεγάλη Γαβρῆτα…;forest;large forest, maybe the Bohemians;118687;49.11;13.14
IV.3.4;Mediomatrici;Μεδιοματρικοὶ;tribe;;109154;49.1181355;6.1741555
IV.3.5;Duricortora;...ἡ μητρόπολις αὐτῶν Δουρικορτόρα μάλιστα συνοικεῖται καὶ δέχεται τοὺς τῶν Ῥωμαίων ἡγεμόνας.;city;Strabo describes that the metropolis of the Remi is (Durocortora) densely built and that Roman governors had their residence here;108945;49.2539525;4.0332025
IV.3.5;Remi;Ῥῆμοι;tribe;;109275;49.2539525;4.0332025
IV.3.5;Bellovaci;Βελλοάκοι;tribe;;108803;49.4304035;2.081041
IV.3.5;Suessiones;Σουεσσίωνες;tribe;;109356;49.438822;3.02983
IV.3.5;Caleti;Κάλετοι;tribe;;108847;49.5196055;0.53567465
IV.3.4;Treveri;Τρηούιροι;tribe;;109390;49.75356589;6.380016928
IV.3.5;Ambiani;Ἀμβιανοὶ;tribe;;108740;49.8936075;2.297948
IV.3.4;Nervii;Νερούιοι;tribe;;109199;50.23647525;3.5133485
IV.3.5;Atrebatii;Ἀτρεβάτιοι;tribe;;108764;50.2927655;2.778586
IV.3.4;Ubii;Οὔβιοι;tribe;;109400;50.492324;7.689166
IV.3.5;Ardennes forest;Ἀρδουένναν;forest;;108753;50.5;5.5
IV.3.5;Morini;Μορινοὶ;tribe;;109177;50.5;1.5
VII.1.3;Boihaemum - place (topon);τὸ Βουίαιμον;place;Strabo describes this as a place (topon) and calls it the domain of King Marabodus -> he caused to migrate several people there, including his kinsmen - the Marcomanni;118604;50.5;13.5
VII.1.3;Chatti;Χάττοι;tribe;;108885;50.5;8.5
VII.1.3;Marcomanni;Μαρκομμάνους;tribe;;118831;50.5;13.5
VII.1.4;Usipi;Οὐσίπων;tribe;;109405;50.5;7.5
VII.1.5;Boii;ἡ Βοΐων ἐρημία;tribe;desert / wildernis of the Boii;118605;50.5;14.5
IV.5.2;Itium;… παρ᾿ οἷς ἐστι καὶ τὸ Ἴτιον, ᾧ ἐχρήσατο ναυστάθμῳ Καῖσαρ ὁ Θεός, διαίρων εἰς τὴν νῆσον· …;place;"Strabo describes that Caesar had a naval base at Itium for the crossing to Britain; Three identifications for Portus Itius are provided in the literature, all of them over a century old. Portus Itius is identified with the river mouth of the Liane in some literature (Raaflaub 2017, p. 123 cf. Keune, 1916, RE IX, p. 2367; see also Reddé 2014, pp. 29-30). This identification is at odds with an older identification of Portus Itius cf. Smith 1854, Dictionary of Greek and Roman Geography, lemma Portus Itius (followed by Pleiades), where the possibilities of Wissant or Sangatte are mentioned. In this record the RE interpretation (Boulogne as Portus Itius) is followed.";114791;50.723988;1.610782
IV.3.5;Eburones;Ἐβούρωνες;tribe;;108952;50.7567445;6.280541
"IV.3.4; 5";Menapii;Μενάπιοι / τοῖς Μεναπίοις;tribe;;109156;51.125334;4.325973
VII.1.3;Bructeri;Βρούκτεροι;tribe;;98929;51.5;7.5
VII.1.3;Marsi;Μαρσοί;tribe;;109145;51.5;7.5
VII.1.3;Semnones;...καὶ τῶν Σοήβων αὐτῶν μέγα ἔθνος, Σέμνωνας.;tribe;large tribe of the Suevi;118962;51.5;11.5
VII.1.3;Lugii;Λουγίους τε, μέγα ἔθνος;tribe;a large tribe;20533;51.527063;16.7764
IV.3.4 / VII.1.3;Sugambri;Σούγαμβροι / τῶν Σουγάμβρων μέρος / Σούγαμβροί;tribe;;109357;51.551188;6.817636
VII.1.3;Chattuarii;Χαττουάριοι;tribe;;98936;52.5;7.5
VII.1.3;Cherusci;Χηροῦσκοί;tribe;;98939;52.5;9.5
VII.1.4;Tubatti;Τουβαττίων;tribe;;99047;52.5;6.5
"IV.3.4; VII.1.3";Suevi;οἱ Σόηβοι / τῶν Σοήβων ἔθνη;tribe;"in book VII Strabo notes that the Suevi is the largest tribe and that they occupy the territory from Rhenus to Albios (Rhine to Elbe); Strabo remarks that some tribes of the Suevi dwell in forests, while others have a common boundary with the tribe of the Getae";99040;53.5;11.5
VII.1.3;Langobardi;Λαγκόβαρδοι;tribe;tribe of the Suevi who are living on the far side (East?) of the Albios (Elbe) - Strabo mentions that at present time they all have been driven in flight from their home country towards the other side of the Elbe;98996;53.5;10.5
VII.1.3;Burchanis island - Borkum;…ἀλλὰ καὶ τὰς ἐν τῷ παράπλῳ νήσους, ὧν ἐστι καὶ ἡ Βυρχανίς, ἣν ἐκ πολιορκίας εἷλε.;island;same as 'Fabaria'- Bean Island - in Pliny NH IV.27;98930;53.588056;6.669722
